"No.","Time","Source","Destination","Protocol","Length","Info"
"189","61.954008","","00:07:00:07:00:07:00:07","IEEE 802.15.4","19","Ack, Dst: Zettamed_07:00:07:00:07"
"190","62.100000","::207:7:7:7","::201:1:1:1","ICMPv6","94","RPL Control (Destination Advertisement Object)"
"191","62.104040","","00:03:00:03:00:03:00:03","IEEE 802.15.4","19","Ack, Dst: Barracud_03:00:03:00:03"
"192","62.120000","::201:1:1:1","::207:7:7:7","ICMPv6","51","RPL Control (Destination Advertisement Object Acknowledgment)"
"193","62.122664","","00:01:00:01:00:01:00:01","IEEE 802.15.4","19","Ack, Dst: EquipTra_01:00:01:00:01"
"194","62.160000","::201:1:1:1","::207:7:7:7","ICMPv6","60","RPL Control (Destination Advertisement Object Acknowledgment)"
"195","62.162952","","00:03:00:03:00:03:00:03","IEEE 802.15.4","19","Ack, Dst: Barracud_03:00:03:00:03"
"196","62.930000","fe80::20c:c:c:c","ff02::1a","ICMPv6","96","RPL Control (DODAG Information Object)"
"197","63.840000","::209:9:9:9","::201:1:1:1","ICMPv6","93","RPL Control (Destination Advertisement Object)"
"198","63.844008","","00:09:00:09:00:09:00:09","IEEE 802.15.4","19","Ack, Dst: Tmt_09:00:09:00:09"
"199","63.970000","::209:9:9:9","::201:1:1:1","ICMPv6","94","RPL Control (Destination Advertisement Object)"
"200","63.974040","","00:05:00:05:00:05:00:05","IEEE 802.15.4","19","Ack, Dst: Cisco_05:00:05:00:05"
"201","64.010000","::201:1:1:1","::209:9:9:9","ICMPv6","51","RPL Control (Destination Advertisement Object Acknowledgment)"
"202","64.012664","","00:01:00:01:00:01:00:01","IEEE 802.15.4","19","Ack, Dst: EquipTra_01:00:01:00:01"
"203","64.050000","::201:1:1:1","::209:9:9:9","ICMPv6","60","RPL Control (Destination Advertisement Object Acknowledgment)"
"204","64.052952","","00:05:00:05:00:05:00:05","IEEE 802.15.4","19","Ack, Dst: Cisco_05:00:05:00:05"
"205","64.170000","fe80::20d:d:d:d","ff02::1a","ICMPv6","96","RPL Control (DODAG Information Object)"
"206","65.410000","00:09:00:09:00:09:00:09","Broadcast","IEEE 802.15.4","37","Enhanced Beacon, Dst: Broadcast, Src: Tmt_09:00:09:00:09"
"207","65.450000","00:0d:00:0d:00:0d:00:0d","Broadcast","IEEE 802.15.4","37","Enhanced Beacon, Dst: Broadcast, Src: SeawayNe_0d:00:0d:00:0d"
"208","65.710000","fe80::204:4:4:4","fe80::205:5:5:5","ICMPv6","102","RPL Control (DODAG Information Object)"
"209","65.714296","","00:04:00:04:00:04:00:04","IEEE 802.15.4","19","Ack, Dst: LexmarkP_04:00:04:00:04"
"210","66.340000","fe80::207:7:7:7","ff02::1a","ICMPv6","96","RPL Control (DODAG Information Object)"
"211","67.890000","fe80::209:9:9:9","ff02::1a","ICMPv6","96","RPL Control (DODAG Information Object)"
"212","67.940000","fe80::20c:c:c:c","fe80::207:7:7:7","ICMPv6","102","RPL Control (DODAG Information Object)"
"213","67.944296","","00:0c:00:0c:00:0c:00:0c","IEEE 802.15.4","19","Ack, Dst: BebIndus_0c:00:0c:00:0c"
"214","69.070000","00:02:00:02:00:02:00:02","00:01:00:01:00:01:00:01","IEEE 802.15.4","23","Data, Dst: EquipTra_01:00:01:00:01, Src: NetSys_02:00:02:00:02"
"215","69.071768","","00:02:00:02:00:02:00:02","IEEE 802.15.4","19","Ack, Dst: NetSys_02:00:02:00:02"
"216","69.300000","00:01:00:01:00:01:00:01","Broadcast","IEEE 802.15.4","37","Enhanced Beacon, Dst: Broadcast, Src: EquipTra_01:00:01:00:01"
"217","69.320000","00:03:00:03:00:03:00:03","Broadcast","IEEE 802.15.4","37","Enhanced Beacon, Dst: Broadcast, Src: Barracud_03:00:03:00:03"
"218","69.330000","00:04:00:04:00:04:00:04","Broadcast","IEEE 802.15.4","37","Enhanced Beacon, Dst: Broadcast, Src: LexmarkP_04:00:04:00:04"
